Timestamp: 13170 | X_pos: -0.007675470784306526 | Y_pos: -0.027989666908979416 | yaw: 0.02639090269804001 | front: None | back: 0.201 | left: 0.211 | right: 0.315 | down: 0.009 | 
Timestamp: 13270 | X_pos: -0.0038013984449207783 | Y_pos: -0.025706611573696136 | yaw: 0.024814443662762642 | front: None | back: 0.198 | left: 0.196 | right: 0.319 | down: 0.01 | 
Timestamp: 13370 | X_pos: -0.005608784966170788 | Y_pos: -0.02565513178706169 | yaw: 0.03186119720339775 | front: None | back: 0.198 | left: 0.195 | right: 0.316 | down: 0.009 | 
Timestamp: 13470 | X_pos: -0.007247155532240868 | Y_pos: -0.02483421191573143 | yaw: 0.01660309173166752 | front: None | back: 0.201 | left: 0.209 | right: 0.318 | down: 0.005 | 
Timestamp: 13570 | X_pos: -0.009185404516756535 | Y_pos: -0.033841852098703384 | yaw: -0.04321204498410225 | front: None | back: 0.2 | left: 0.191 | right: 0.319 | down: 0.009 | 
Timestamp: 13670 | X_pos: -0.0069417706690728664 | Y_pos: -0.03658425807952881 | yaw: -0.04321204498410225 | front: None | back: 0.2 | left: 0.191 | right: 0.319 | down: 0.009 | 
Timestamp: 13670 | X_pos: -0.0069417706690728664 | Y_pos: -0.03658425807952881 | yaw: -0.029490763321518898 | front: None | back: 0.202 | left: 0.194 | right: 0.32 | down: 0.009 | 
Timestamp: 13770 | X_pos: -0.0048554143868386745 | Y_pos: -0.03760148212313652 | yaw: -0.05630913004279137 | front: None | back: 0.197 | left: 0.196 | right: 0.319 | down: 0.007 | 
Timestamp: 13870 | X_pos: -0.004324371926486492 | Y_pos: -0.04197484254837036 | yaw: -0.08714940398931503 | front: None | back: 0.197 | left: 0.204 | right: 0.324 | down: 0.007 | 
Timestamp: 13970 | X_pos: -0.005079406779259443 | Y_pos: -0.048885561525821686 | yaw: -0.10897676646709442 | front: None | back: 0.208 | left: 0.193 | right: 0.319 | down: 0.008 | 
Timestamp: 14070 | X_pos: -0.016332434490323067 | Y_pos: -0.05002429336309433 | yaw: -0.38203832507133484 | front: None | back: 0.166 | left: 0.194 | right: 0.332 | down: 0.0 | 
Timestamp: 14170 | X_pos: -0.055580995976924896 | Y_pos: -0.0355449840426445 | yaw: -0.834017813205719 | front: None | back: 0.177 | left: 0.206 | right: 0.41 | down: 0.0 | 
Timestamp: 14270 | X_pos: -0.09002342820167542 | Y_pos: -0.02139536663889885 | yaw: -1.2613871097564697 | front: None | back: None | left: 0.183 | right: 0.616 | down: 0.013 | 
Timestamp: 14370 | X_pos: -0.10165482014417648 | Y_pos: -0.01062781736254692 | yaw: -1.5916334390640259 | front: None | back: 0.531 | left: 0.174 | right: 0.721 | down: 0.04 | 
Timestamp: 14470 | X_pos: -0.09324046969413757 | Y_pos: -0.014196463860571384 | yaw: -1.841802716255188 | front: 0.476 | back: 0.537 | left: 0.154 | right: 0.775 | down: 0.064 | 
Timestamp: 14570 | X_pos: -0.07227037101984024 | Y_pos: -0.018409958109259605 | yaw: -1.8394134044647217 | front: None | back: 0.549 | left: 0.147 | right: 0.808 | down: 0.077 | 
Timestamp: 14670 | X_pos: -0.05137549340724945 | Y_pos: -0.026567859575152397 | yaw: -1.773498773574829 | front: None | back: 0.559 | left: 0.154 | right: 0.834 | down: 0.08 | 
Timestamp: 14970 | X_pos: -0.02465415932238102 | Y_pos: -0.04527664557099342 | yaw: -2.9657466411590576 | front: 3.312 | back: 0.591 | left: 0.173 | right: 0.88 | down: 0.119 | 
Timestamp: 15170 | X_pos: -0.04055478051304817 | Y_pos: -0.044736895710229874 | yaw: -2.377006769180298 | front: 3.286 | back: 0.595 | left: 0.266 | right: 0.881 | down: 0.152 | 
Timestamp: 15270 | X_pos: -0.04673108085989952 | Y_pos: -0.04386454075574875 | yaw: -2.075819492340088 | front: None | back: 0.588 | left: 0.262 | right: 0.882 | down: 0.168 | 
Timestamp: 15370 | X_pos: -0.049057167023420334 | Y_pos: -0.04615087807178497 | yaw: -1.8685067892074585 | front: None | back: 0.587 | left: 0.258 | right: 0.884 | down: 0.189 | 
Timestamp: 15470 | X_pos: -0.044993117451667786 | Y_pos: -0.0449041947722435 | yaw: -1.9040002822875977 | front: None | back: 0.595 | left: 0.262 | right: 0.884 | down: 0.202 | 
Timestamp: 15470 | X_pos: -0.044993117451667786 | Y_pos: -0.0449041947722435 | yaw: -1.9040002822875977 | front: None | back: 0.595 | left: 0.262 | right: 0.884 | down: 0.202 | 
Timestamp: 15570 | X_pos: -0.032345592975616455 | Y_pos: -0.04980267211794853 | yaw: -2.0212936401367188 | front: None | back: 0.602 | left: 0.264 | right: 0.883 | down: 0.225 | 
Timestamp: 15670 | X_pos: -0.01904311031103134 | Y_pos: -0.05347435176372528 | yaw: -2.1182126998901367 | front: 3.272 | back: 0.61 | left: 0.266 | right: 0.879 | down: 0.236 | 
Timestamp: 15770 | X_pos: -0.0029199114069342613 | Y_pos: -0.05738714709877968 | yaw: -2.114400625228882 | front: 3.269 | back: 0.623 | left: 0.269 | right: 0.875 | down: 0.26 | 
Timestamp: 15870 | X_pos: 0.012800845317542553 | Y_pos: -0.06025614216923714 | yaw: -2.1131160259246826 | front: 3.253 | back: 0.638 | left: 0.273 | right: 0.87 | down: 0.256 | 
Timestamp: 15970 | X_pos: 0.02846526727080345 | Y_pos: -0.06334459036588669 | yaw: -2.0525591373443604 | front: 3.263 | back: 0.655 | left: 0.276 | right: 0.872 | down: 0.263 | 
Timestamp: 16070 | X_pos: 0.042368438094854355 | Y_pos: -0.06467464566230774 | yaw: -1.910550832748413 | front: 3.249 | back: 0.67 | left: 0.278 | right: 0.86 | down: 0.272 | 
Timestamp: 16170 | X_pos: 0.05832840874791145 | Y_pos: -0.06675608456134796 | yaw: -1.7944319248199463 | front: 3.222 | back: 0.68 | left: 0.281 | right: 0.862 | down: 0.279 | 
Timestamp: 16270 | X_pos: 0.07063806802034378 | Y_pos: -0.06820398569107056 | yaw: -1.6921194791793823 | front: None | back: 0.694 | left: 0.279 | right: 0.861 | down: 0.287 | 
Timestamp: 16370 | X_pos: 0.08346002548933029 | Y_pos: -0.06915547698736191 | yaw: -1.4998161792755127 | front: 3.199 | back: 0.705 | left: 0.278 | right: 0.856 | down: 0.293 | 
Timestamp: 16470 | X_pos: 0.09472709894180298 | Y_pos: -0.06855115294456482 | yaw: -1.3167017698287964 | front: 3.199 | back: 0.714 | left: 0.276 | right: 0.856 | down: 0.299 | 
Timestamp: 16570 | X_pos: 0.10549616068601608 | Y_pos: -0.070221908390522 | yaw: -1.2374602556228638 | front: 3.176 | back: 0.733 | left: 0.276 | right: 0.856 | down: 0.304 | 
Timestamp: 16670 | X_pos: 0.11879045516252518 | Y_pos: -0.06892220675945282 | yaw: -1.2338504791259766 | front: 3.18 | back: 0.738 | left: 0.277 | right: 0.852 | down: 0.31 | 
Timestamp: 16770 | X_pos: 0.13492900133132935 | Y_pos: -0.06779829412698746 | yaw: -1.2404989004135132 | front: 3.161 | back: 0.753 | left: 0.277 | right: 0.856 | down: 0.312 | 
Timestamp: 16870 | X_pos: 0.15093286335468292 | Y_pos: -0.06672362983226776 | yaw: -1.279651403427124 | front: 3.137 | back: 0.764 | left: 0.275 | right: 0.858 | down: 0.314 | 
Timestamp: 16970 | X_pos: 0.16310790181159973 | Y_pos: -0.06702163815498352 | yaw: -1.321198582649231 | front: 3.137 | back: 0.779 | left: 0.274 | right: 0.858 | down: 0.316 | 
Timestamp: 17070 | X_pos: 0.17510251700878143 | Y_pos: -0.06558267772197723 | yaw: -1.4179195165634155 | front: 3.128 | back: 0.788 | left: 0.272 | right: 0.858 | down: 0.32 | 
Timestamp: 17170 | X_pos: 0.18713721632957458 | Y_pos: -0.065494604408741 | yaw: -1.4532541036605835 | front: 3.107 | back: 0.8 | left: 0.273 | right: 0.863 | down: 0.322 | 
Timestamp: 17270 | X_pos: 0.20085257291793823 | Y_pos: -0.06426553428173065 | yaw: -1.4264646768569946 | front: 3.097 | back: 0.813 | left: 0.271 | right: 0.86 | down: 0.326 | 
Timestamp: 17370 | X_pos: 0.21924874186515808 | Y_pos: -0.06501980870962143 | yaw: -1.359447956085205 | front: 3.078 | back: 0.828 | left: 0.269 | right: 0.864 | down: 0.33 | 
Timestamp: 17470 | X_pos: 0.2331787496805191 | Y_pos: -0.06539742648601532 | yaw: -1.3341281414031982 | front: 3.073 | back: 0.837 | left: 0.272 | right: 0.863 | down: 0.329 | 
Timestamp: 17570 | X_pos: 0.2520034611225128 | Y_pos: -0.06547021120786667 | yaw: -1.3720439672470093 | front: 3.069 | back: 0.851 | left: 0.271 | right: 0.861 | down: 0.33 | 
Timestamp: 17670 | X_pos: 0.2648877501487732 | Y_pos: -0.06510263681411743 | yaw: -1.3846555948257446 | front: 3.036 | back: 0.868 | left: 0.271 | right: 0.863 | down: 0.331 | 
Timestamp: 17770 | X_pos: 0.27903151512145996 | Y_pos: -0.06407744437456131 | yaw: -1.3825103044509888 | front: 3.035 | back: 0.879 | left: 0.272 | right: 0.862 | down: 0.333 | 
Timestamp: 17870 | X_pos: 0.29563048481941223 | Y_pos: -0.06559710949659348 | yaw: -1.269045352935791 | front: None | back: 0.889 | left: 0.274 | right: 0.858 | down: 0.335 | 
Timestamp: 17970 | X_pos: 0.3115844428539276 | Y_pos: -0.06772958487272263 | yaw: -1.0386781692504883 | front: 3.015 | back: 0.903 | left: 0.273 | right: 0.86 | down: 0.336 | 
Timestamp: 18070 | X_pos: 0.331923246383667 | Y_pos: -0.06827012449502945 | yaw: -0.7850246429443359 | front: 2.998 | back: 0.916 | left: 0.272 | right: 0.859 | down: 0.338 | 
Timestamp: 18170 | X_pos: 0.34504434466362 | Y_pos: -0.07023894041776657 | yaw: -0.6050058603286743 | front: 2.995 | back: 0.926 | left: 0.275 | right: 0.861 | down: 0.337 | 
Timestamp: 18270 | X_pos: 0.36159390211105347 | Y_pos: -0.07138691842556 | yaw: -0.4260655641555786 | front: 2.978 | back: 0.936 | left: 0.277 | right: 0.859 | down: 0.337 | 
Timestamp: 18370 | X_pos: 0.3776856064796448 | Y_pos: -0.07255123555660248 | yaw: -0.22924789786338806 | front: 2.968 | back: 0.946 | left: 0.279 | right: 0.855 | down: 0.338 | 
Timestamp: 18470 | X_pos: 0.3941531777381897 | Y_pos: -0.07455223053693771 | yaw: -0.06277120858430862 | front: 2.96 | back: 0.96 | left: 0.279 | right: 0.858 | down: 0.338 | 
Timestamp: 18570 | X_pos: 0.4092804491519928 | Y_pos: -0.07420343160629272 | yaw: 0.03415496647357941 | front: 2.95 | back: 0.972 | left: 0.282 | right: 0.856 | down: 0.338 | 
Timestamp: 18670 | X_pos: 0.423004150390625 | Y_pos: -0.07542435824871063 | yaw: 0.009037180803716183 | front: 2.931 | back: 0.983 | left: 0.28 | right: 0.858 | down: 0.339 | 
Timestamp: 18770 | X_pos: 0.43700599670410156 | Y_pos: -0.07596518844366074 | yaw: -0.027023768052458763 | front: 2.922 | back: 0.995 | left: 0.28 | right: 0.857 | down: 0.336 | 
Timestamp: 18870 | X_pos: 0.4513261914253235 | Y_pos: -0.07636188715696335 | yaw: -0.14586684107780457 | front: 2.911 | back: 1.003 | left: 0.282 | right: 0.859 | down: 0.333 | 
Timestamp: 18970 | X_pos: 0.4621261656284332 | Y_pos: -0.07557754963636398 | yaw: -0.2881377339363098 | front: 2.887 | back: 1.016 | left: 0.28 | right: 0.859 | down: 0.334 | 
Timestamp: 19070 | X_pos: 0.4787224233150482 | Y_pos: -0.0754033625125885 | yaw: -0.34555068612098694 | front: 2.905 | back: 1.024 | left: 0.282 | right: 0.859 | down: 0.334 | 
Timestamp: 19170 | X_pos: 0.48996031284332275 | Y_pos: -0.07505778223276138 | yaw: -0.426802396774292 | front: 2.889 | back: 1.038 | left: 0.28 | right: 0.856 | down: 0.334 | 
Timestamp: 19270 | X_pos: 0.505408763885498 | Y_pos: -0.07387988269329071 | yaw: -0.5448348522186279 | front: 2.873 | back: 1.052 | left: 0.275 | right: 0.856 | down: 0.341 | 
Timestamp: 19370 | X_pos: 0.5206718444824219 | Y_pos: -0.0711580142378807 | yaw: -0.5647287368774414 | front: 2.865 | back: 1.06 | left: 0.276 | right: 0.855 | down: 0.34 | 
Timestamp: 19470 | X_pos: 0.5377570390701294 | Y_pos: -0.06853469461202621 | yaw: -0.4461749196052551 | front: 2.862 | back: 1.069 | left: 0.276 | right: 0.86 | down: 0.339 | 
Timestamp: 19570 | X_pos: 0.5551530122756958 | Y_pos: -0.06774985045194626 | yaw: -0.2998429834842682 | front: 2.833 | back: 1.081 | left: 0.276 | right: 0.86 | down: 0.338 | 
Timestamp: 19670 | X_pos: 0.5690274834632874 | Y_pos: -0.067811518907547 | yaw: -0.24788014590740204 | front: 2.835 | back: 1.096 | left: 0.27 | right: 0.865 | down: 0.338 | 
Timestamp: 19770 | X_pos: 0.581111490726471 | Y_pos: -0.0677853673696518 | yaw: -0.2622518241405487 | front: 2.82 | back: 1.106 | left: 0.269 | right: 0.862 | down: 0.338 | 
Timestamp: 19870 | X_pos: 0.5958059430122375 | Y_pos: -0.0667526051402092 | yaw: -0.23382040858268738 | front: 2.802 | back: 1.12 | left: 0.272 | right: 0.864 | down: 0.338 | 
Timestamp: 19970 | X_pos: 0.6101597547531128 | Y_pos: -0.06386847048997879 | yaw: -0.2260546237230301 | front: 2.791 | back: 1.129 | left: 0.271 | right: 0.867 | down: 0.337 | 
Timestamp: 20070 | X_pos: 0.6205477118492126 | Y_pos: -0.06094684824347496 | yaw: -0.1650819182395935 | front: 2.785 | back: 1.143 | left: 0.262 | right: 0.867 | down: 0.338 | 
Timestamp: 20170 | X_pos: 0.6334542632102966 | Y_pos: -0.05857278034090996 | yaw: -0.10487671196460724 | front: 2.78 | back: 1.151 | left: 0.265 | right: 0.869 | down: 0.338 | 
Timestamp: 20270 | X_pos: 0.6487414240837097 | Y_pos: -0.05622845143079758 | yaw: -0.01535374578088522 | front: 2.767 | back: 1.159 | left: 0.272 | right: 0.873 | down: 0.335 | 
Timestamp: 20370 | X_pos: 0.6606863737106323 | Y_pos: -0.05140987038612366 | yaw: 0.03620210662484169 | front: 2.743 | back: 1.17 | left: 0.274 | right: 0.872 | down: 0.331 | 
Timestamp: 20470 | X_pos: 0.6761028170585632 | Y_pos: -0.051473185420036316 | yaw: 0.05526449903845787 | front: 2.738 | back: 1.181 | left: 0.289 | right: 0.874 | down: 0.334 | 
Timestamp: 20570 | X_pos: 0.690483033657074 | Y_pos: -0.05013900622725487 | yaw: 0.01143494714051485 | front: 2.736 | back: 1.195 | left: 0.333 | right: 0.879 | down: 0.333 | 
Timestamp: 20670 | X_pos: 0.7035881280899048 | Y_pos: -0.04785052686929703 | yaw: -0.09359893202781677 | front: 2.717 | back: 1.2 | left: 0.462 | right: 0.878 | down: 0.331 | 
Timestamp: 20770 | X_pos: 0.7137210965156555 | Y_pos: -0.04789489507675171 | yaw: -0.07784765213727951 | front: 2.708 | back: 1.215 | left: None | right: 0.879 | down: 0.328 | 
Timestamp: 20870 | X_pos: 0.7313796877861023 | Y_pos: -0.044539518654346466 | yaw: 1.436584711074829 | front: 2.7 | back: 1.229 | left: None | right: 0.881 | down: 0.33 | 
Timestamp: 20970 | X_pos: 0.7438746094703674 | Y_pos: -0.03910202533006668 | yaw: 5.246218204498291 | front: 2.7 | back: 1.241 | left: None | right: 0.885 | down: 0.33 | 
Timestamp: 21070 | X_pos: 0.7503269910812378 | Y_pos: -0.035517796874046326 | yaw: 10.95743465423584 | front: 2.699 | back: 1.26 | left: None | right: 0.887 | down: 0.334 | 
Timestamp: 21170 | X_pos: 0.7545338273048401 | Y_pos: -0.027030562981963158 | yaw: 18.059032440185547 | front: 2.726 | back: 1.285 | left: 0.287 | right: 0.898 | down: 0.336 | 
Timestamp: 21270 | X_pos: 0.7564363479614258 | Y_pos: -0.022224444895982742 | yaw: 26.24519920349121 | front: 2.784 | back: 1.342 | left: 0.274 | right: 0.921 | down: 0.338 | 
Timestamp: 21370 | X_pos: 0.7517402172088623 | Y_pos: -0.01703549735248089 | yaw: 34.07081985473633 | front: None | back: 1.438 | left: 0.29 | right: 0.964 | down: 0.339 | 
Timestamp: 21470 | X_pos: 0.7424190640449524 | Y_pos: -0.007264772895723581 | yaw: 43.14895248413086 | front: None | back: 1.449 | left: 0.322 | right: 1.033 | down: 0.343 | 
Timestamp: 21570 | X_pos: 0.7320742607116699 | Y_pos: 0.0135085703805089 | yaw: 52.404563903808594 | front: None | back: None | left: 0.383 | right: 1.14 | down: 0.343 | 
Timestamp: 21670 | X_pos: 0.7169803977012634 | Y_pos: 0.01319124922156334 | yaw: 61.818084716796875 | front: None | back: 1.075 | left: 0.467 | right: 1.307 | down: 0.342 | 
Timestamp: 21770 | X_pos: 0.7200362086296082 | Y_pos: 0.001226750435307622 | yaw: 71.34467315673828 | front: 2.588 | back: 0.978 | left: 0.619 | right: 1.553 | down: 0.343 | 
